audio,text,description
/home/jupyter-koustav/fine_tuning/test_1/12741024238657315067.wav,unfortunately studying traffic flow is difficult because driver behavior cannot be predicted with one-hundred percent certainty,A male speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/9055240296608129734.wav,unfortunately studying traffic flow is difficult because driver behavior cannot be predicted with one-hundred percent certainty,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/621925716775998155.wav,twentieth century research has shown that there are two pools of genetic variation hidden and expressed,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/10335587906469246566.wav,twentieth century research has shown that there are two pools of genetic variation hidden and expressed,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/2589557553267364799.wav,remember that even though music on the main stages may have finished there may be sections of the festival that will keep playing music until late into the night,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/17824557748066874904.wav,remember that even though music on the main stages may have finished there may be sections of the festival that will keep playing music until late into the night,A male speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/8173060820032255320.wav,police superintendent chandra shekhar solanki said the accused appeared in court with covered faces,A male speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/15618717836108767541.wav,police superintendent chandra shekhar solanki said the accused appeared in court with covered faces,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/2652155470394119415.wav,the term bug is used by entomologists in a formal sense for this group of insects,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/14585898865749103727.wav,the term bug is used by entomologists in a formal sense for this group of insects,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/18066939864018796519.wav,popular sports include football basketball volleyball water-polo fencing rugby cycling ice hockey roller hockey and f1 motor racing,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/15648812079343683412.wav,popular sports include football basketball volleyball water-polo fencing rugby cycling ice hockey roller hockey and f1 motor racing,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/16847628585853049714.wav,you can use boda-boda motorcycle taxi to get around goma. the normal local price is ~500 congolese francs for the short ride,A male speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/8756381645087147947.wav,you can use boda-boda motorcycle taxi to get around goma. the normal local price is ~500 congolese francs for the short ride,A male speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/1596269393232229615.wav,bishkek was described as sinking into a state of anarchy by one observer as gangs of people roamed the streets and plundered stores of consumer goods,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/16355757648693617724.wav,bishkek was described as sinking into a state of anarchy by one observer as gangs of people roamed the streets and plundered stores of consumer goods,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/2637301866626572038.wav,during the revolutionary war the thirteen states first formed a weak central government-with the congress being its only component-under the articles of confederation,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/2939761992885557861.wav,during the revolutionary war the thirteen states first formed a weak central government-with the congress being its only component-under the articles of confederation,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/1722118868151836971.wav,current senator and argentine first lady cristina fernandez de kirchner announced her presidential candidacy yesterday evening in la plata a city 50 kilometers 31 miles away from buenos aires,A male speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
