audio,text,description
/home/jupyter-koustav/fine_tuning/test_p/16801588291945986435.wav,"ripa karaṃṭa samuṃdarī taṭṭa nūṃ tor̤adīāṃ lahirāṃ toṃ vāpasa āuṇa vālā vahāa huṃdā hai, jo ki akasara rīpha jāṃ isade samāna thāvāṃ ‘te dekhaṇa nūṃ miladā hai.",A female speaker speaks clearly in Punjabi with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_p/1458799382450162558.wav,"ripa karaṃṭa samuṃdarī taṭṭa nūṃ tor̤adīāṃ lahirāṃ toṃ vāpasa āuṇa vālā vahāa huṃdā hai, jo ki akasara rīpha jāṃ isade samāna thāvāṃ ‘te dekhaṇa nūṃ miladā hai.",A female speaker speaks clearly in Punjabi with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_p/16748752270110148579.wav,"ripa karaṃṭa samuṃdarī taṭṭa nūṃ tor̤adīāṃ lahirāṃ toṃ vāpasa āuṇa vālā vahāa huṃdā hai, jo ki akasara rīpha jāṃ isade samāna thāvāṃ ‘te dekhaṇa nūṃ miladā hai.",A female speaker speaks clearly in Punjabi with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_p/14563505655751884012.wav,uppara sapaśaṭa suṃdara ākāśa ate āsapāsa ner̤e-ter̤e de kaī pahār̤āṃ toṃ ilāvā kujha vī nahīṃ vekhiā jā sakadā hai. isa saṃsāra nūṃ bahuta thor̤ā guphā de aṃdaroṃ vekhiā jāṃ suṇiā jā sakadā hai.,A female speaker speaks clearly in Punjabi with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_p/15038731443077161591.wav,uppara sapaśaṭa suṃdara ākāśa ate āsapāsa ner̤e-ter̤e de kaī pahār̤āṃ toṃ ilāvā kujha vī nahīṃ vekhiā jā sakadā hai. isa saṃsāra nūṃ bahuta thor̤ā guphā de aṃdaroṃ vekhiā jāṃ suṇiā jā sakadā hai.,A female speaker speaks clearly in Punjabi with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_p/3348248816951252700.wav,"isa 'te ""vikī"" phraiṃca ne sāśana kītā sī. iha phraiṃca uha loka sī jinhāṃ ne 1940 vicca jaramanāṃ nāla śāṃtī samajhautā kītā sī ate uhanāṃ de hamalāvarāṃ nāla lar̤ana dī bajāe uhanāṃ nāla kamma kītā sī.",A female speaker speaks clearly in Punjabi with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_p/12290458536723623373.wav,"15 agasata 1940 nūṃ mittara rāśaṭarāṃ ne dakkhaṇī pharāṃsa utte hamalā kītā, hamale nūṃ ""apareśana ḍraigona"" kihā giā.",A female speaker speaks clearly in Punjabi with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_p/7028656752165445615.wav,"15 agasata 1940 nūṃ mittara rāśaṭarāṃ ne dakkhaṇī pharāṃsa utte hamalā kītā, hamale nūṃ ""apareśana ḍraigona"" kihā giā.",A female speaker speaks clearly in Punjabi with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_p/14775360174412913709.wav,"15 agasata 1940 nūṃ mittara rāśaṭarāṃ ne dakkhaṇī pharāṃsa utte hamalā kītā, hamale nūṃ ""apareśana ḍraigona"" kihā giā.",A female speaker speaks clearly in Punjabi with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_p/14842323786893743609.wav,"bāhara sathita ṭāpūāṃ ‘te saṃbhava taura ‘te karaiḍiṭa kāraḍa savīkāra nahīṃ hoṇage, hālāṃki briṭiśa ate saṃyukata rāja dī mudarā savīkāra kītī jā sakadī hai; iha patā karana laī mālaka nūṃ pahilāṃ hī puccha lavo ki uhanāṃ kola savīkārayoga bhugatāna vidhī kihar̤ī hai.",A female speaker speaks clearly in Punjabi with a natural tone and moderate pace in a quiet environment.
